MQ8,MQ5,Caption,image_path_uuid,Gas
695,459,"Thermal image shows a mostly uniform temperature field ranging from 28-29°C.  Warmer areas (orange/red) are scattered throughout, suggesting localized heat sources.  Image quality is somewhat noisy, potentially due to distance or environmental factors.",954e378720664a48a26180c95315f2b7.png,NoGas
598,411,"The thermal image shows a device with varying temperatures.  Several components exhibit warmer temperatures (yellow/red), suggesting potential heat generation or malfunction. Cooler areas (blue/green) indicate lower heat dissipation.  The temperature scale ranges from 25°C to 34°C.",f83004644ec6470b950152bce88245f6.png,Perfume
626,378,"Thermal image shows a localized area of higher temperature (orange/yellow) against a cooler background (green).  Temperature range is 99-102°F.  GPS coordinates are 18°32'18""N, 73°43'32""E.",9624ee5e29ce4f05ba959fea1bae3002.png,Smoke
518,383,"Thermal image shows a vertical band of varying temperatures, ranging from approximately 82°F to 87°F.  The coolest temperature is in the center, gradually warming toward the edges. Location coordinates are 18°32'18""N, 73°43'32""E.",f746229633e3420388bfaeb9d0dac630.png,Perfume
577,366,"Thermal image shows a mostly cool area (dark blue), with a small, warmer area (yellow-red) at the bottom left, indicating a temperature gradient.  Coordinates 18°32'18""N 73°43'32""E are present.",8399e03e97a94daf8650d1a6ead879fe.png,Smoke
242,356,"The thermal image shows a mostly uniform temperature distribution, predominantly in the green-yellow range (approximately 72-73°F).  Minor variations are present but no significant hot or cold spots are detectable.",456ea90aa7b344a0ab3c2ae2709cea88.png,Mixture
701,494,"The thermal image shows a scene with varying temperatures, ranging from 27°C to 29°C.  Warmer areas (orange/yellow) are scattered across a cooler (green/blue) background. The image quality is somewhat grainy, hindering precise detail.  Location is unavailable.",3295bdead47a4b2a816c14519e9c91cf.png,NoGas
289,387,"The thermal image shows a mostly uniform temperature range between 63°F and 74°F, predominantly green and yellow hues.  Minor temperature variations are present, indicating slight inconsistencies across the surface.",930cdcf4805b48deb18ee2e5e35a900a.png,Mixture
266,354,"The thermal image shows a relatively uniform temperature distribution, predominantly in the green range (42-73°F), indicating minimal temperature variations across the field of view.  There are subtle variations in yellow and orange, suggesting slightly warmer spots.",572b0e8573104d62b7539850c09b3c3e.png,Mixture
565,305,"Thermal image shows a gas plume, hottest (red/orange) at the source, gradually cooling (yellow/green/blue) as it dissipates.  Temperature range is 98°F to 626°F.  GPS coordinates are provided.",ae60097d133e42f7a5973670dfc85d62.png,Smoke
590,354,"Thermal image shows a gas plume (red/yellow) emanating from a source, dissipating into cooler surrounding air (blue/green).  Temperature ranges from 99°F to 14°F.  Location: 18°32'18""N 73°43'32""E.",20c59d71e74244e4b8f2c400f1d9b6b9.png,Smoke
276,409,"The thermal image shows a mostly uniform temperature range, predominantly yellow and orange, indicating a relatively consistent heat signature across the area.  There's a slight gradient, with warmer areas (orange/red) at the left, and cooler (yellow/green) areas to the right.  Temperature scale ranges from ~62°F to 72°F.",ef0cc67d76b5408bbc0fba197b264b74.png,Mixture
396,468,"The thermal image shows a mostly uniform temperature range, predominantly green, indicating a consistent heat signature across the area.  Minor variations in yellow and blue suggest slight temperature differences. Location is unavailable.",d5cb62cca68941009df12e870876d06d.png,Mixture
600,300,"Thermal image shows a mostly uniform temperature field, predominantly green, indicating temperatures between 88°F and 91°F. A small, warmer area (yellow/orange) is visible in the bottom right, suggesting a localized heat source.  Coordinates 18°32'18""N 73°43'32""E are provided.",374c17d13ed446b5bc47eb95b8c538e2.png,Smoke
734,503,"Thermal image shows a temperature range of 29-42°C.  A significant temperature difference exists between a warmer area (reds/yellows) and a cooler area (blues).  The warmer section appears to be a wall section. The cooler section shows several components, possibly electrical, indicating potential overheating.",c571ecbd518343328311a0fa2ea84f34.png,Perfume
547,323,"Thermal image shows mostly green, indicating a relatively uniform temperature.  A small, warmer yellow area is present near the upper right corner, suggesting a localized heat source.  Temperature range is 90-91°F.  Location: 18°32'18""N, 73°43'32""E.",a242d58b6c7548bfae3670fd140fea54.png,Smoke
307,416,"The thermal image shows a mostly uniform temperature distribution, predominantly green, indicating a consistent temperature range.  A small area of warmer temperatures (yellow/orange) is visible, suggesting a localized heat source or anomaly.  The overall temperature range is between 73°F and 75°F.",c1b08502445c48bba8401018200d760b.png,Mixture
637,419,"Thermal image shows a gas leak.  Hottest areas (red/orange) are approximately 50°C, indicating escaping gas. Cooler areas are blue/green.  Location is unavailable.",32b3cc7b9301468da304798b9f52597f.png,NoGas
638,368,"Thermal image shows a mostly uniform temperature range of 99-102°F.  A slightly warmer area is visible in the lower left corner.  Coordinates are 18°32'18""N 73°43'32""E.",5e45c039e0fd43efaf6487cd12e363d6.png,Smoke
642,419,"Thermal image shows mostly green, indicating a relatively uniform temperature (around 23-24°C). A small, cooler blue area is visible, suggesting a localized temperature anomaly. The overall temperature range is approximately 22-25°C.",add8f251680a48c1bc40fdf4e352744b.png,NoGas
690,441,"The thermal image shows a mostly uniform temperature range between 27-28°C.  A slightly warmer area (yellow) is present near the center, indicating a localized heat source.  The overall image quality is somewhat grainy.",27c56ec551e64639af3a91750d3e6cd2.png,NoGas
269,386,"The thermal image shows a temperature range from 54°F to 72°F.  The majority of the scene is yellow-green, indicating relatively consistent temperatures, with warmer areas (orange/red) appearing in patches throughout.  No specific objects or features are clearly identifiable.",1e93cda7a6d64639894af2db50041a0e.png,Mixture
644,416,"Thermal image shows areas of varying temperatures, predominantly ranging from 25-30°C.  Cooler areas appear dark blue/purple, warmer areas red/yellow.  A distinct cooler vertical region is present.",fb3ec8202bc3450ba862b66562eaa4fa.png,NoGas
793,537,"The thermal image shows a relatively uniform temperature range from 89°F to 90°F, with a slight gradient from warmer (yellow) to cooler (green) across the field of view.  Geographic coordinates are provided.",c62b23738df34ac18ec64a46eaa27392.png,Perfume
756,516,"Thermal image shows a temperature gradient.  Cooler temperatures (blue) are on the right, warmer (red/yellow) on the left. A cooler vertical streak is visible, possibly indicating a draft or leak. Temperatures range from 31°C to 39°C.",73a5491b9e6f4ef58caba9dfc130b267.png,Perfume
671,441,"Thermal image shows a mostly uniform temperature field (27-28°C). A small, horizontally oriented area exhibits slightly higher temperature (yellow-orange), suggesting a localized heat source.  Location is unavailable.",1e31546a63ae4513b755cf224dc34e1c.png,NoGas
261,377,"Here's a summary of the thermal image:

The image shows a mostly uniform temperature distribution ranging from approximately 44°F to 73°F, with warmer areas (orange/yellow) concentrated centrally and cooler areas (green) towards the edges.  The temperature variation is subtle, suggesting a relatively consistent heat source or environment.",f7baa5863b9947fd81c9bf7a1bfd89d3.png,Mixture
703,504,The thermal image shows a mostly uniform temperature of approximately 28-29°C.  Slight variations in color suggest minor temperature differences across the area.  No significant heat sources or leaks are detected.,287cf264396c4f39a524f21236cef71e.png,NoGas
590,398,"Thermal image shows a mostly uniform area,  temperature range 90-91°F.  Coordinates: 18°32'18""N, 73°43'32""E.  Slight temperature variations are present but not significant.",0077e178a5e54fda8f4ee1b718430ac2.png,NoGas
573,357,"The thermal image shows a mostly uniform temperature range between 89°F and 91°F.  Minor temperature variations are present, but no significant anomalies are observed.  The location is 18°32'18""N 73°43'32""E.",b6abf1e8003041c8b04ffe68aec508c6.png,Smoke
596,337,"Thermal image shows a mostly uniform area, predominantly green, indicating a consistent temperature range around 90°F.  Coordinates 18°32'18""N 73°43'32""E are shown.  No significant thermal anomalies are visible.",b4a6441d6312450f9470b2bafea868e2.png,Smoke
756,507,"Thermal image shows a temperature range of 26-33°C.  The top shows warmer areas (red/yellow), possibly indicating a gas leak or heat source.  Cooler areas (blue/green) dominate the bottom.  Precise location is unavailable.",d2b58bcec5cb4b018d93def5cba98064.png,NoGas
741,466,"Thermal image shows a dark, cool object (possibly metallic) being handled by two hands.  The hands are significantly warmer, indicated by red and orange colors, compared to the cooler blue object. Temperature range is 26-39°C.",cb15bb60bcdc44cba12432f0197c13ce.png,Perfume
637,418,"The thermal image shows a temperature range from 25°C to 30°C.  Most areas are warm (red/yellow), with a cool (dark blue) vertical section possibly indicating a leak or low temperature object.  The image resolution is low.",98da8f79ab8f4c08aea37cadaa22db2d.png,NoGas
568,388,"Thermal image shows a mostly uniform temperature around 89°F, with slight variations.  Location data: 18°32'18""N, 73°43'32""E.",78cad315c3b642cba00353813de740e0.png,NoGas
555,413,"Thermal image shows a consistently green field, indicating uniform temperature across the area (around 90°F).  Coordinates 18°32'18""N 73°43'32""E are provided. No significant temperature variations are detected.",a9afff2c54f44639a4166bc568b3e8ba.png,NoGas
622,362,"Thermal image shows a plume of warmer gas (100-118°F) emanating from a source on the left, gradually cooling as it disperses to the right.  Location: 18°32'18""N 73°43'32""E.",6dd867d9c16640a58b9e1ee4c80f1731.png,Smoke
666,438,"The thermal image shows a mostly green area, indicating a relatively consistent temperature.  There are several warmer (yellow-orange) spots, suggesting localized heat sources.  The temperature range is approximately 27-29°C.",03e29338d8fe4d87af5b10da91631cff.png,NoGas
555,386,"Thermal image shows a temperature range of 30-42°C.  A dark, cool object is present next to warmer, reddish areas suggesting heat loss or generation.  The location is unavailable.",0408ddc488d84f75902254f3b894987f.png,Perfume
573,325,Thermal image shows a mostly uniform temperature of approximately 100-101°F.  Slight variations in color suggest minimal temperature differences across the scene.  Location coordinates are provided.,370e4d18271d4ea6945d3e34359bc7c8.png,Smoke
350,434,"Thermal image shows a bright, hot spot (likely a gas leak) against a cool, dark background.  The hot spot is roughly teardrop shaped with a bright, circular center. Temperatures range from 70°F to 212°F.",2679f9ac80b34046aa8a4791d1c131a4.png,Mixture
349,443,Thermal image shows a temperature gradient.  Warmer areas (yellow/orange) transition to cooler areas (blue).  Temperature range is 68-72°F.  Specific location is unavailable.,a9aa630d77c0488b942b6e5c1819d4f6.png,Mixture
619,359,"Thermal image shows a plume of gas, hottest (red) near source, gradually cooling (blue) as it disperses.  Temperature range is 100-134°F.  Coordinates 18°32'18""N, 73°43'32""E are provided.",ba16014c35b343c4ada0b149b0281e4f.png,Smoke
222,346,"Thermal image shows a bright red ""8"" shape, significantly hotter than the surrounding area, which is depicted in cooler blues and greens.  Temperature range is 72°F to 204°F.",8dfcd66f65ef4aacb779619ce333880b.png,Mixture
692,471,"The thermal image shows a mostly uniform temperature of around 28-29°C.  Slight variations in color suggest minor temperature fluctuations across the scene, but no significant hot or cold spots are apparent.  Location is unavailable.",a4340622cae642a895bd2245b4c0cf3b.png,NoGas
737,490,"Thermal image shows a diagonal, darker-green band (cooler temperatures) against a brighter-yellow background (warmer temperatures).  Temperature range is 87-89°F.  Coordinates are 18°32'18""N, 73°43'32""E.",771e3692eea2443caf6355fccfcb185c.png,Perfume
246,361,"The thermal image shows a mostly uniform temperature range between 72°F and 74°F.  There's a slight temperature gradient, with warmer areas on the right. The location is unavailable.",59bcc0108bbb4da08f971072e3843a65.png,Mixture
536,390,Thermal image shows several areas of higher temperature (yellow/orange) against a cooler background (green).  Temperature range is 87-89°F. Geographic coordinates are included.,0d1f6271e43e4e4eada42edc1998717b.png,Perfume
239,351,"Thermal image shows a temperature gradient.  One area registers warmer (yellow-red, ~72-93°F) than the adjacent cooler area (green-blue, ~72-33°F).  The exact cause is unknown.",435d7361f32f4440a9b02f81b57af101.png,Mixture
563,338,"Thermal image shows mostly green, indicating consistent temperature across the scene, with a slight warmer area (yellow/blue) on the right.  Temperature range is 89-91°F.  Coordinates are 18°32'18""N 73°43'32""E.",4150bdf73eb340f59d234314d1e4d542.png,Smoke
596,298,"Thermal image shows mostly uniform temperature (89-91°F) with a slight warmer area (yellow/orange) in the lower right corner.  Coordinates: 18°32'18""N, 73°43'32""E.",24e38984ad714d9aadc394ee8a36ae06.png,Smoke
639,387,"Thermal image shows a gas leak (green/yellow area) with temperatures ranging from 96°F to 104°F.  Location coordinates are 18°32'18""N 73°43'32""E.",3a2dc2b130544f5da748e86350ebfe08.png,Smoke
633,416,Thermal image shows a localized area of higher temperature (red/yellow) against a cooler background (blue).  The warmer area suggests a heat source or leak.  Temperature range is approximately 29-32°C. Location is unavailable.,d887e9da7f8c4abebed5f66027c5414d.png,NoGas
322,406,"The thermal image shows a mostly uniform temperature field, predominantly in the green range (approximately 72°F).  Minor variations in temperature are visible, but no significant hot or cold spots are apparent.",5ee13c2a54b04887a7da0130a4cedd9a.png,Mixture
675,471,"The thermal image shows a relatively uniform temperature across the scene, predominantly in the green range (around 90°F).  Geographic coordinates 18°32'18""N 73°43'32""E are indicated. No significant thermal anomalies are visible.",857930175b5d4c32af4d09e62e894f1e.png,NoGas
753,489,"Thermal image shows a temperature range from 12°C to 37°C.  A large, cooler blue area is present, contrasting with warmer yellow and red regions. Location is unavailable.",26cabf22a0c34a8881537af476d9de57.png,Perfume
330,422,"The thermal image shows a relatively uniform temperature distribution, predominantly in the green-yellow range (67-72°F), indicating minimal temperature variation across the area.  No significant hot or cold spots are visible.",2bbf4af7a94b457aae5b0b7b699e6cf1.png,Mixture
623,413,"The thermal image shows a mostly uniform temperature range between 27°C and 28°C. A small area exhibits slightly higher temperatures (yellow/orange), suggesting a localized heat source.  Location is unavailable.",013d79c7ad4a41f7992dcc834b01bb46.png,NoGas
641,396,"The thermal image shows a relatively uniform temperature range between 89°F and 90°F.  No significant temperature variations are visible. Location: 18°32'18""N 73°43'32""E.",6c6bff8b913a4d38ac20e712d8e78497.png,Smoke
567,305,"Thermal image shows a gas plume, hottest (red) near source, gradually cooling (yellow-green-blue) as it dissipates.  Temperature range is 99-112°F.  Location: 18°32'18""N, 73°43'32""E.",cd6a3b3566b94282b52789b064e85e0c.png,Smoke
251,368,Thermal image shows a bright orange/red circular area (approx. 199°F) against a cooler blue/green background.  The heat source appears isolated. Temperature range is 72-199°F.,fe660d466fef4d5cadbb9fa445a783b0.png,Mixture
559,354,"Thermal image shows a mostly uniform area with temperatures between 87°F and 89°F.  Slight variations in color suggest minor temperature differences across the area. Location: 18°32'18""N 73°43'32""E.",c94ede203cba4315864267a4e9c65487.png,Smoke
645,461,"Thermal image shows a scene with varying temperatures.  Cooler areas (blue) are present, along with warmer areas (red/orange).  Temperature range is 28-32°C.  The image appears to be of a wall and possibly some electrical components.",185218b094a346048001e89847d24f34.png,NoGas
587,454,"The thermal image shows a mostly uniform temperature between 28-29°C.  Minor, subtle temperature variations are present, but no significant heat sources or leaks are apparent. Location is unavailable.",97aad3e2214245cf86aecf5dbc25ce7c.png,NoGas
330,413,"The thermal image shows a mostly uniform temperature distribution, predominantly in the green-yellow range (64-73°F), indicating a consistent heat signature across the area.  Minor variations in color suggest slight temperature differences within the field.",726f788abde84756ac9a8b1642e8fbce.png,Mixture
633,420,"Thermal image shows varying temperatures, ranging from 25-30°C.  Cooler areas appear dark blue/purple, warmer areas red/orange.  A noticeably cooler, vertical, dark blue object is present.  Location is unavailable.",690eaed5d1ec43b4a08ca90fb8a06f27.png,NoGas
632,363,"Thermal image shows mostly uniform temperature (89-90°F) with a slightly cooler area (blue) on the right.  Coordinates: 18°32'18""N 73°43'32""E.",32e87c094f3a44a79cc8a3685fb75187.png,Smoke
733,502,"Thermal image shows predominantly green, indicating consistent temperature (27-29°C). A cooler, blue vertical streak is visible, potentially a pipe or similar object. A small, warmer yellow area is present in the upper right.  Location data unavailable.",51d76941121b45e5b98f4a381b10028b.png,NoGas
666,445,"The thermal image shows a mostly uniform temperature range of 28-29°C.  Minor temperature variations are present, but no significant hot or cold spots are visible.  The location is unavailable.",0df68fbb9bd940c4bfac25f300ede048.png,NoGas
564,339,"Thermal image shows a mostly uniform temperature across the scene, ranging from 89°F to 91°F.  Slight warmer areas are visible, but no significant temperature variations are present.  The location is 18°32'18""N, 73°43'32""E.",5745a3340e864f2794d7eb1ce5554818.png,Smoke
619,360,"Thermal image shows mostly uniform temperature (89-91°F) with a slightly warmer area (yellowish-green) in the upper right.  Coordinates: 18°32'18""N, 73°43'32""E.",229f793197df4211bf6dab2c94e5cfa4.png,Smoke
659,438,"Thermal image shows a mostly uniform temperature field (27-29°C). A small, horizontally oriented area exhibits slightly higher temperatures (orange/yellow), suggesting a localized heat source.  Location is unavailable.",31a251de20804c55b05cd21414dc73ac.png,NoGas
731,509,The thermal image shows a wall with a section significantly cooler (blue/green) than the rest (red/yellow).  The temperature range is approximately 32-36°C.  The cooler section may indicate a problem like poor insulation or air leakage.,6fb51be66f3c43269bfde946186d7ee8.png,Perfume
312,446,"Thermal image shows a mostly uniform temperature range of 70-72°F.  There's slight temperature variation across the surface, indicated by color changes. Location is unavailable.",d503e02446cb4f5f8fecc6d76f24200d.png,Mixture
584,399,"Here's a summary of the thermal image:

The image shows a thermal anomaly, likely gas, escaping from a structure.  The warmer gas is depicted in red/yellow, ranging from 31°C to 40°C, while the cooler surroundings appear blue. The location is unknown.",2df7d06b5e304711843c013836212d2b.png,Perfume
696,485,"Thermal image shows a mostly uniform temperature field, approximately 28-29°C. A small, slightly warmer area (yellow-orange) is visible near the center, suggesting a localized heat source.  Location is unavailable.",4b66a6e559144e08bd890db939060f65.png,NoGas
620,375,"Thermal image shows a temperature range of 104-109°F.  The majority of the image is green, indicating a relatively consistent temperature. A warmer, yellow/orange band is visible near the bottom.  Coordinates 18°32'18""N 73°43'32""E are provided.",d0ad8f4849aa48829f4254e96fe868ea.png,Smoke
750,515,"Thermal image shows a vertical, cooler (blue-green) area against a warmer (yellow-green) background.  Temperature range is 87-89°F. Location data is included (18°32'18""N, 73°43'32""E).",375e15f0486248c9b396938512234e12.png,Perfume
573,393,"Thermal image shows a surface with varying temperatures, ranging from 27°C to 32°C.  Several areas exhibit higher temperatures (red/orange), suggesting heat sources or insulation issues.  The overall image quality is somewhat grainy.",524e02a8e2074e17adcb2c5b96e1ee5c.png,Perfume
558,419,"The thermal image shows a uniform temperature across the scene, predominantly in the green range (around 88°F). No significant temperature variations or anomalies are visible.  Coordinates 18°32'18""N 73°43'32""E are given.",7480ad3694bb49c08eeaaf3c6e4042ce.png,NoGas
339,426,"Thermal image shows a bright, hot spot (likely a gas leak) reaching 193°F, with warmer colors indicating higher temperatures.  The surrounding area is significantly cooler.",44e9fabb19be48f9839c539e3118b72e.png,Mixture
433,365,Thermal image shows a heat source (red/orange) near a cooler object (blue/green).  Temperatures range from 25°C to 37°C.  The location is unavailable.,d4837d6292b544599eb4a79b59d0e9b5.png,Perfume
366,446,"The thermal image shows a mostly uniform temperature distribution, predominantly in the green-yellow range (approximately 70-73°F).  Minor variations in temperature are present across the surface.  Location data is unavailable.",a052ade8b3a24048a77684aafc9fcf75.png,Mixture
315,422,"The thermal image shows a mostly uniform temperature range, predominantly green and blue, indicating a consistent temperature across the area.  The temperature scale ranges from 72°F to 74°F.  No significant hot or cold spots are visible.",185d3c18a6084f0aa109b4f4c37adb98.png,Mixture
451,372,"The thermal image shows a dark, cool object, possibly a pipe, against a warmer background.  Hotter areas (red/yellow) are visible at the top left, suggesting a potential leak or heat loss. Temperatures range from 26°C to 32°C.",ef16c304b9a94df38c35ef00ed29184f.png,Perfume
636,382,"Thermal image shows a mostly uniform temperature range between 97°F and 101°F.  Coordinates are 18°32'18""N, 73°43'32""E.  No significant temperature anomalies are visible.",ca646c3e30eb486f9e6e90b989a6b96c.png,Smoke
350,424,"The thermal image shows a mostly uniform temperature range, predominantly green, indicating a consistent temperature across the area.  Slight variations in color suggest minor temperature differences, but no significant hot or cold spots are visible.  The temperature scale shows a range from 42°F to 72°F.",fc1f58f16dd14c3dbc4f42208ebc7263.png,Mixture
568,400,"Thermal image shows a heat signature, likely gas leak, ranging from 28-35°C.  The hottest area is central, tapering off to cooler temperatures. Location is unavailable.",939bc905334c4aa6b39984280aa1d340.png,NoGas
272,404,The thermal image shows a mostly uniform temperature range between 72°F and 73°F.  The colors indicate minimal temperature variation across the area.  No significant heat sources or cold spots are visible.,bd6f5e85769347c38858980618b2580d.png,Mixture
582,309,"Thermal image shows a mostly uniform temperature range between 99-102°F.  Minor temperature variations are present, suggesting slight inconsistencies in the surface being imaged.  Geographic coordinates are included.",d45eb35564a74822baf7ec02306b8639.png,Smoke
345,455,"The thermal image shows a mostly uniform temperature range, predominantly yellow-green, indicating a consistent heat signature across the area.  Minor variations in color suggest slight temperature differences, but no significant hot or cold spots are visible.",d0e0d564879f42f087cf424af35e79b9.png,Mixture
560,337,"Thermal image shows a mostly uniform temperature around 88-89°F.  Coordinates 18°32'18""N 73°43'32""E are visible.  Slight temperature variations are present, but no significant heat sources are detected.",3ddcfb9f6dc64d88a76edcc6681cd936.png,Smoke
349,455,"The thermal image shows a relatively uniform temperature distribution, primarily in the green-yellow range (42-73°F).  Minor warmer areas (yellow-orange) are scattered throughout.  No significant temperature anomalies are apparent.",891035dce4864779a0ff79333ccb8113.png,Mixture
561,314,"Thermal image shows a localized heat source (99-626°F) at coordinates 18°32'18""N, 73°43'32""E.  The heat source is irregularly shaped and appears to be emanating from a lower temperature area.",ebbe37618c81475f9624a60f5328d08e.png,Smoke
547,394,"Thermal image shows a vertical temperature gradient, ranging from ~84°F (blue) to ~88°F (red).  The hottest area is on the right side.  Coordinates are 18°32'18""N, 73°43'32""E.",302244b269db4bbeb4f8cc0ee51cf981.png,Perfume
291,398,"The thermal image shows a mostly uniform temperature range between 71°F and 73°F.  There's minimal temperature variation across the scene, indicating a lack of significant heat sources or anomalies.",41064344aa674e1f84c9e4e54dc9b45c.png,Mixture
323,437,"The thermal image shows a significant temperature gradient.  Cooler blues on the left transition to warmer oranges and reds on the right, indicating a heat source or flow from left to right.  Temperature ranges from 69°F to 72°F.",995d6d98e1ed43448826b4a1623a4d11.png,Mixture
752,509,"The thermal image shows a dark, cooler object (likely metal) against a warmer background.  Temperature ranges from 27°C to 31°C.  The object's temperature is significantly lower than its surroundings.",78c9adcab6ac47b2aafb59379b6509e9.png,Perfume
